,QuestionId,ranking
0,0,435
1,1,774
2,2,191
3,3,914
4,4,223
5,5,158
6,6,502
7,7,130
8,8,226
9,9,240
10,10,217
11,11,347
12,12,352
13,13,821
14,14,768
15,15,615
16,16,649
17,17,278
18,18,72
19,19,721
20,20,764
21,21,249
22,22,754
23,23,328
24,24,685
25,25,918
26,26,534
27,27,336
28,28,548
29,29,716
30,30,467
31,31,785
32,32,200
33,33,10
34,34,466
35,35,515
36,36,250
37,37,663
38,38,438
39,39,344
40,40,108
41,41,204
42,42,150
43,43,877
44,44,140
45,45,319
46,46,107
47,47,653
48,48,196
49,49,339
50,50,647
51,51,528
52,52,417
53,53,390
54,54,280
55,55,331
56,56,529
57,57,274
58,58,273
59,59,921
60,60,242
61,61,18
62,62,327
63,63,68
64,64,889
65,65,930
66,66,506
67,67,148
68,68,22
69,69,532
70,70,65
71,71,265
72,72,587
73,73,623
74,74,450
75,75,689
76,76,455
77,77,101
78,78,778
79,79,122
80,80,822
81,81,496
82,82,706
83,83,560
84,84,177
85,85,288
86,86,881
87,87,296
88,88,575
89,89,819
90,90,606
91,91,462
92,92,483
93,93,12
94,94,30
95,95,190
96,96,225
97,97,610
98,98,407
99,99,362
100,100,770
101,101,301
102,102,358
103,103,654
104,104,81
105,105,574
106,106,558
107,107,178
108,108,411
109,109,338
110,110,17
111,111,780
112,112,111
113,113,382
114,114,469
115,115,267
116,116,572
117,117,456
118,118,499
119,119,363
120,120,176
121,121,243
122,122,750
123,123,334
124,124,203
125,125,646
126,126,27
127,127,313
128,128,40
129,129,394
130,130,246
131,131,380
132,132,238
133,133,762
134,134,730
135,135,474
136,136,160
137,137,694
138,138,824
139,139,504
140,140,340
141,141,492
142,142,20
143,143,829
144,144,399
145,145,452
146,146,7
147,147,650
148,148,166
149,149,86
150,150,567
151,151,472
152,152,156
153,153,927
154,154,903
155,155,21
156,156,449
157,157,811
158,158,276
159,159,142
160,160,660
161,161,100
162,162,202
163,163,876
164,164,841
165,165,582
166,166,115
167,167,268
168,168,820
169,169,128
170,170,709
171,171,464
172,172,75
173,173,228
174,174,175
175,175,145
176,176,626
177,177,426
178,178,937
179,179,28
180,180,36
181,181,67
182,182,270
183,183,377
184,184,686
185,185,790
186,186,159
187,187,443
188,188,221
189,189,139
190,190,745
191,191,235
192,192,41
193,193,523
194,194,389
195,195,870
196,196,576
197,197,131
198,198,459
199,199,896
200,200,739
201,201,239
202,202,894
203,203,437
204,204,287
205,205,342
206,206,118
207,207,543
208,208,59
209,209,835
210,210,184
211,211,840
212,212,224
213,213,728
214,214,357
215,215,206
216,216,656
217,217,230
218,218,52
219,219,398
220,220,423
221,221,550
222,222,740
223,223,38
224,224,413
225,225,167
226,226,245
227,227,794
228,228,233
229,229,189
230,230,103
231,231,860
232,232,482
233,233,478
234,234,281
235,235,292
236,236,708
237,237,119
238,238,584
239,239,703
240,240,127
241,241,49
242,242,162
243,243,751
244,244,386
245,245,91
246,246,194
247,247,545
248,248,864
249,249,612
250,250,815
251,251,73
252,252,827
253,253,370
254,254,724
255,255,508
256,256,771
257,257,880
258,258,84
259,259,605
260,260,800
261,261,374
262,262,182
263,263,302
264,264,570
265,265,318
266,266,317
267,267,375
268,268,66
269,269,154
270,270,431
271,271,186
272,272,865
273,273,35
274,274,634
275,275,359
276,276,15
277,277,497
278,278,580
279,279,197
280,280,393
281,281,798
282,282,83
283,283,559
284,284,767
285,285,760
286,286,96
287,287,831
288,288,441
289,289,410
290,290,757
291,291,314
292,292,588
293,293,696
294,294,616
295,295,906
296,296,272
297,297,360
298,298,520
299,299,465
300,300,471
301,301,165
302,302,298
303,303,199
304,304,641
305,305,902
306,306,805
307,307,32
308,308,135
309,309,687
310,310,153
311,311,479
312,312,938
313,313,406
314,314,772
315,315,910
316,316,56
317,317,635
318,318,505
319,319,477
320,320,872
321,321,873
322,322,132
323,323,789
324,324,93
325,325,289
326,326,351
327,327,282
328,328,600
329,329,78
330,330,684
331,331,690
332,332,680
333,333,518
334,334,257
335,335,346
336,336,333
337,337,673
338,338,50
339,339,45
340,340,522
341,341,353
342,342,427
343,343,727
344,344,844
345,345,617
346,346,562
347,347,848
348,348,702
349,349,863
350,350,787
351,351,42
352,352,271
353,353,361
354,354,310
355,355,430
356,356,170
357,357,736
358,358,95
359,359,445
360,360,672
361,361,234
362,362,229
363,363,833
364,364,247
365,365,306
366,366,887
367,367,633
368,368,599
369,369,692
370,370,573
371,371,207
372,372,713
373,373,561
374,374,681
375,375,738
376,376,775
377,377,565
378,378,227
379,379,325
380,380,260
381,381,784
382,382,125
383,383,913
384,384,212
385,385,259
386,386,553
387,387,77
388,388,164
389,389,536
390,390,209
391,391,307
392,392,546
393,393,557
394,394,891
395,395,305
396,396,923
397,397,457
398,398,458
399,399,231
400,400,219
401,401,662
402,402,366
403,403,743
404,404,343
405,405,907
406,406,899
407,407,403
408,408,807
409,409,577
410,410,916
411,411,621
412,412,484
413,413,741
414,414,924
415,415,266
416,416,218
417,417,425
418,418,19
419,419,237
420,420,883
421,421,868
422,422,944
423,423,172
424,424,262
425,425,2
426,426,89
427,427,737
428,428,126
429,429,909
430,430,183
431,431,783
432,432,733
433,433,434
434,434,201
435,435,538
436,436,851
437,437,114
438,438,718
439,439,124
440,440,933
441,441,854
442,442,51
443,443,320
444,444,563
445,445,290
446,446,487
447,447,624
448,448,428
449,449,501
450,450,451
451,451,897
452,452,839
453,453,461
454,454,297
455,455,109
456,456,187
457,457,856
458,458,869
459,459,826
460,460,803
461,461,786
462,462,878
463,463,463
464,464,920
465,465,627
466,466,715
467,467,329
468,468,855
469,469,759
470,470,98
471,471,161
472,472,853
473,473,912
474,474,322
475,475,500
476,476,350
477,477,642
478,478,712
479,479,396
480,480,871
481,481,222
482,482,711
483,483,180
484,484,409
485,485,782
486,486,293
487,487,332
488,488,900
489,489,378
490,490,793
491,491,269
492,492,668
493,493,63
494,494,385
495,495,55
496,496,391
497,497,603
498,498,210
499,499,618
500,500,31
501,501,905
502,502,476
503,503,802
504,504,163
505,505,629
506,506,639
507,507,747
508,508,886
509,509,636
510,510,542
511,511,926
512,512,516
513,513,493
514,514,566
515,515,345
516,516,494
517,517,688
518,518,335
519,519,697
520,520,568
521,521,579
522,522,632
523,523,198
524,524,252
525,525,540
526,526,412
527,527,836
528,528,53
529,529,852
530,530,596
531,531,136
532,532,392
533,533,818
534,534,256
535,535,258
536,536,284
537,537,123
538,538,58
539,539,934
540,540,725
541,541,74
542,542,285
543,543,46
544,544,544
545,545,315
546,546,707
547,547,547
548,548,491
549,549,473
550,550,387
551,551,622
552,552,376
553,553,862
554,554,402
555,555,312
556,556,152
557,557,490
558,558,420
559,559,149
560,560,61
561,561,729
562,562,383
563,563,513
564,564,659
565,565,369
566,566,932
567,567,904
568,568,842
569,569,448
570,570,652
571,571,583
572,572,263
573,573,303
574,574,638
575,575,8
576,576,530
577,577,804
578,578,781
579,579,814
580,580,47
581,581,893
582,582,631
583,583,371
584,584,597
585,585,720
586,586,33
587,587,299
588,588,43
589,589,216
590,590,481
591,591,607
592,592,613
593,593,585
594,594,742
595,595,367
596,596,549
597,597,699
598,598,4
599,599,137
600,600,395
601,601,749
602,602,373
603,603,379
604,604,348
605,605,80
606,606,838
607,607,611
608,608,928
609,609,404
610,610,705
611,611,57
612,612,857
613,613,151
614,614,714
615,615,602
616,616,830
617,617,368
618,618,112
619,619,157
620,620,304
621,621,625
622,622,731
623,623,76
624,624,134
625,625,677
626,626,524
627,627,330
628,628,92
629,629,895
630,630,917
631,631,384
632,632,179
633,633,388
634,634,931
635,635,691
636,636,866
637,637,788
638,638,453
639,639,701
640,640,173
641,641,48
642,642,521
643,643,813
644,644,753
645,645,773
646,646,763
647,647,110
648,648,416
649,649,444
650,650,537
651,651,604
652,652,823
653,653,710
654,654,795
655,655,609
656,656,777
657,657,765
658,658,433
659,659,792
660,660,946
661,661,16
662,662,405
663,663,37
664,664,337
665,665,556
666,666,598
667,667,215
668,668,846
669,669,429
670,670,104
671,671,261
672,672,919
673,673,892
674,674,213
675,675,498
676,676,593
677,677,447
678,678,349
679,679,939
680,680,147
681,681,422
682,682,791
683,683,850
684,684,300
685,685,676
686,686,554
687,687,674
688,688,875
689,689,670
690,690,911
691,691,752
692,692,555
693,693,295
694,694,174
695,695,589
696,696,608
697,697,651
698,698,97
699,699,54
700,700,882
701,701,251
702,702,70
703,703,90
704,704,645
705,705,512
706,706,592
707,707,678
708,708,117
709,709,85
710,710,858
711,711,39
712,712,514
713,713,769
714,714,657
715,715,693
716,716,511
717,717,658
718,718,1
719,719,171
720,720,354
721,721,661
722,722,643
723,723,723
724,724,495
725,725,193
726,726,181
727,727,879
728,728,726
729,729,64
730,730,929
731,731,884
732,732,283
733,733,940
734,734,60
735,735,586
736,736,539
737,737,488
738,738,628
739,739,719
740,740,486
741,741,828
742,742,908
743,743,25
744,744,551
745,745,400
746,746,291
747,747,630
748,748,232
749,749,415
750,750,640
751,751,847
752,752,6
753,753,843
754,754,535
755,755,316
756,756,655
757,757,11
758,758,722
759,759,143
760,760,901
761,761,279
762,762,29
763,763,510
764,764,761
765,765,503
766,766,253
767,767,489
768,768,666
769,769,146
770,770,468
771,771,79
772,772,859
773,773,601
774,774,155
775,775,69
776,776,446
777,777,44
778,778,776
779,779,734
780,780,275
781,781,637
782,782,644
783,783,421
784,784,34
785,785,401
786,786,817
787,787,675
788,788,758
789,789,169
790,790,552
791,791,936
792,792,195
793,793,88
794,794,439
795,795,507
796,796,669
797,797,141
798,798,809
799,799,255
800,800,138
801,801,188
802,802,898
803,803,816
804,804,808
805,805,664
806,806,381
807,807,874
808,808,442
809,809,915
810,810,619
811,811,845
812,812,533
813,813,832
814,814,799
815,815,888
816,816,594
817,817,595
818,818,5
819,819,541
820,820,526
821,821,214
822,822,94
823,823,746
824,824,71
825,825,943
826,826,311
827,827,264
828,828,942
829,829,700
830,830,475
831,831,766
832,832,620
833,833,309
834,834,440
835,835,812
836,836,517
837,837,695
838,838,323
839,839,321
840,840,485
841,841,947
842,842,106
843,843,23
844,844,531
845,845,796
846,846,13
847,847,948
848,848,735
849,849,144
850,850,432
851,851,87
852,852,408
853,853,665
854,854,286
855,855,885
856,856,116
857,857,9
858,858,372
859,859,470
860,860,569
861,861,460
862,862,364
863,863,922
864,864,571
865,865,82
866,866,717
867,867,890
868,868,326
869,869,205
870,870,355
871,871,564
872,872,591
873,873,241
874,874,248
875,875,120
876,876,208
877,877,480
878,878,62
879,879,26
880,880,454
881,881,925
882,882,121
883,883,99
884,884,614
885,885,519
886,886,113
887,887,365
888,888,308
889,889,748
890,890,578
891,891,244
892,892,418
893,893,277
894,894,867
895,895,254
896,896,797
897,897,810
898,898,509
899,899,849
900,900,834
901,901,590
902,902,294
903,903,192
904,904,102
905,905,525
906,906,168
907,907,935
908,908,779
909,909,581
910,910,648
911,911,806
912,912,704
913,913,129
914,914,756
915,915,220
916,916,414
917,917,341
918,918,185
919,919,236
920,920,671
921,921,744
922,922,837
923,923,755
924,924,945
925,925,24
926,926,679
927,927,698
928,928,941
929,929,211
930,930,667
931,931,14
932,932,133
933,933,861
934,934,436
935,935,419
936,936,105
937,937,424
938,938,825
939,939,683
940,940,527
941,941,801
942,942,356
943,943,732
944,944,3
945,945,324
946,946,397
947,947,682
