,QuestionId,ranking
0,0,414
1,1,702
2,2,197
3,3,913
4,4,198
5,5,148
6,6,515
7,7,120
8,8,258
9,9,234
10,10,211
11,11,333
12,12,370
13,13,818
14,14,765
15,15,742
16,16,674
17,17,244
18,18,92
19,19,729
20,20,757
21,21,213
22,22,732
23,23,298
24,24,688
25,25,916
26,26,500
27,27,359
28,28,560
29,29,712
30,30,456
31,31,802
32,32,219
33,33,103
34,34,487
35,35,463
36,36,206
37,37,661
38,38,440
39,39,375
40,40,87
41,41,172
42,42,140
43,43,869
44,44,189
45,45,341
46,46,121
47,47,657
48,48,151
49,49,336
50,50,643
51,51,482
52,52,459
53,53,334
54,54,282
55,55,220
56,56,544
57,57,271
58,58,326
59,59,923
60,60,248
61,61,85
62,62,268
63,63,72
64,64,887
65,65,929
66,66,488
67,67,65
68,68,94
69,69,555
70,70,25
71,71,264
72,72,569
73,73,599
74,74,428
75,75,689
76,76,458
77,77,70
78,78,766
79,79,167
80,80,825
81,81,462
82,82,687
83,83,580
84,84,210
85,85,267
86,86,885
87,87,377
88,88,590
89,89,827
90,90,624
91,91,448
92,92,425
93,93,4
94,94,34
95,95,131
96,96,284
97,97,591
98,98,383
99,99,320
100,100,792
101,101,322
102,102,330
103,103,671
104,104,111
105,105,566
106,106,538
107,107,307
108,108,485
109,109,321
110,110,14
111,111,795
112,112,95
113,113,514
114,114,441
115,115,279
116,116,584
117,117,391
118,118,506
119,119,399
120,120,199
121,121,207
122,122,749
123,123,373
124,124,179
125,125,634
126,126,101
127,127,294
128,128,169
129,129,417
130,130,262
131,131,365
132,132,216
133,133,775
134,134,733
135,135,471
136,136,110
137,137,670
138,138,826
139,139,568
140,140,335
141,141,548
142,142,38
143,143,828
144,144,356
145,145,466
146,146,11
147,147,649
148,148,184
149,149,99
150,150,558
151,151,435
152,152,145
153,153,933
154,154,905
155,155,49
156,156,419
157,157,822
158,158,314
159,159,150
160,160,653
161,161,164
162,162,190
163,163,867
164,164,813
165,165,572
166,166,75
167,167,254
168,168,807
169,169,22
170,170,680
171,171,453
172,172,61
173,173,176
174,174,126
175,175,301
176,176,623
177,177,433
178,178,937
179,179,130
180,180,159
181,181,19
182,182,338
183,183,390
184,184,695
185,185,809
186,186,115
187,187,446
188,188,181
189,189,79
190,190,760
191,191,224
192,192,161
193,193,518
194,194,396
195,195,876
196,196,550
197,197,105
198,198,405
199,199,906
200,200,723
201,201,259
202,202,903
203,203,426
204,204,308
205,205,280
206,206,149
207,207,553
208,208,108
209,209,837
210,210,201
211,211,841
212,212,174
213,213,726
214,214,400
215,215,177
216,216,662
217,217,243
218,218,66
219,219,424
220,220,394
221,221,521
222,222,750
223,223,122
224,224,325
225,225,222
226,226,193
227,227,791
228,228,212
229,229,183
230,230,82
231,231,860
232,232,438
233,233,454
234,234,347
235,235,296
236,236,717
237,237,113
238,238,603
239,239,793
240,240,127
241,241,13
242,242,97
243,243,736
244,244,412
245,245,68
246,246,231
247,247,530
248,248,872
249,249,628
250,250,814
251,251,84
252,252,833
253,253,360
254,254,734
255,255,503
256,256,772
257,257,847
258,258,64
259,259,627
260,260,820
261,261,343
262,262,205
263,263,318
264,264,561
265,265,332
266,266,305
267,267,397
268,268,16
269,269,170
270,270,416
271,271,117
272,272,836
273,273,9
274,274,641
275,275,342
276,276,18
277,277,484
278,278,606
279,279,208
280,280,403
281,281,810
282,282,109
283,283,583
284,284,788
285,285,741
286,286,53
287,287,849
288,288,410
289,289,302
290,290,764
291,291,306
292,292,516
293,293,711
294,294,738
295,295,904
296,296,272
297,297,372
298,298,535
299,299,582
300,300,492
301,301,147
302,302,270
303,303,182
304,304,639
305,305,886
306,306,806
307,307,31
308,308,102
309,309,644
310,310,168
311,311,507
312,312,940
313,313,577
314,314,777
315,315,895
316,316,20
317,317,637
318,318,527
319,319,460
320,320,844
321,321,865
322,322,281
323,323,794
324,324,37
325,325,340
326,326,246
327,327,311
328,328,597
329,329,62
330,330,650
331,331,665
332,332,669
333,333,496
334,334,215
335,335,374
336,336,315
337,337,685
338,338,50
339,339,43
340,340,552
341,341,368
342,342,406
343,343,727
344,344,859
345,345,745
346,346,567
347,347,835
348,348,679
349,349,870
350,350,780
351,351,47
352,352,236
353,353,293
354,354,285
355,355,386
356,356,135
357,357,821
358,358,55
359,359,443
360,360,691
361,361,253
362,362,265
363,363,830
364,364,266
365,365,345
366,366,889
367,367,640
368,368,622
369,369,690
370,370,565
371,371,217
372,372,701
373,373,534
374,374,704
375,375,719
376,376,776
377,377,508
378,378,196
379,379,348
380,380,283
381,381,767
382,382,71
383,383,914
384,384,240
385,385,225
386,386,517
387,387,29
388,388,143
389,389,528
390,390,138
391,391,362
392,392,539
393,393,585
394,394,891
395,395,304
396,396,920
397,397,505
398,398,437
399,399,192
400,400,237
401,401,625
402,402,387
403,403,740
404,404,327
405,405,908
406,406,893
407,407,409
408,408,783
409,409,595
410,410,909
411,411,554
412,412,472
413,413,721
414,414,918
415,415,218
416,416,239
417,417,457
418,418,26
419,419,204
420,420,888
421,421,874
422,422,942
423,423,162
424,424,297
425,425,36
426,426,227
427,427,705
428,428,256
429,429,919
430,430,163
431,431,774
432,432,706
433,433,434
434,434,186
435,435,525
436,436,850
437,437,80
438,438,714
439,439,187
440,440,925
441,441,848
442,442,139
443,443,316
444,444,630
445,445,312
446,446,522
447,447,633
448,448,436
449,449,519
450,450,392
451,451,901
452,452,832
453,453,469
454,454,276
455,455,52
456,456,203
457,457,856
458,458,866
459,459,829
460,460,817
461,461,784
462,462,880
463,463,497
464,464,910
465,465,632
466,466,676
467,467,328
468,468,855
469,469,771
470,470,27
471,471,152
472,472,854
473,473,915
474,474,378
475,475,502
476,476,339
477,477,710
478,478,675
479,479,344
480,480,877
481,481,324
482,482,651
483,483,175
484,484,418
485,485,773
486,486,238
487,487,319
488,488,894
489,489,380
490,490,799
491,491,141
492,492,663
493,493,78
494,494,398
495,495,76
496,496,402
497,497,609
498,498,223
499,499,746
500,500,23
501,501,898
502,502,476
503,503,763
504,504,155
505,505,648
506,506,604
507,507,751
508,508,883
509,509,598
510,510,493
511,511,911
512,512,557
513,513,495
514,514,576
515,515,300
516,516,481
517,517,699
518,518,529
519,519,700
520,520,581
521,521,551
522,522,594
523,523,226
524,524,313
525,525,562
526,526,420
527,527,839
528,528,90
529,529,863
530,530,592
531,531,86
532,532,269
533,533,812
534,534,251
535,535,277
536,536,292
537,537,128
538,538,40
539,539,932
540,540,716
541,541,46
542,542,250
543,543,32
544,544,510
545,545,358
546,546,666
547,547,570
548,548,549
549,549,430
550,550,401
551,551,611
552,552,349
553,553,864
554,554,432
555,555,310
556,556,132
557,557,474
558,558,444
559,559,133
560,560,60
561,561,672
562,562,413
563,563,524
564,564,631
565,565,389
566,566,928
567,567,902
568,568,805
569,569,423
570,570,638
571,571,589
572,572,263
573,573,261
574,574,636
575,575,3
576,576,483
577,577,801
578,578,781
579,579,819
580,580,21
581,581,900
582,582,586
583,583,351
584,584,574
585,585,715
586,586,58
587,587,289
588,588,69
589,589,233
590,590,531
591,591,593
592,592,618
593,593,645
594,594,658
595,595,291
596,596,513
597,597,761
598,598,8
599,599,195
600,600,384
601,601,725
602,602,361
603,603,480
604,604,323
605,605,88
606,606,882
607,607,564
608,608,934
609,609,422
610,610,698
611,611,73
612,612,852
613,613,89
614,614,718
615,615,563
616,616,846
617,617,355
618,618,51
619,619,153
620,620,247
621,621,612
622,622,720
623,623,116
624,624,81
625,625,694
626,626,479
627,627,299
628,628,100
629,629,899
630,630,927
631,631,369
632,632,154
633,633,353
634,634,931
635,635,708
636,636,871
637,637,786
638,638,475
639,639,707
640,640,107
641,641,41
642,642,532
643,643,796
644,644,759
645,645,782
646,646,770
647,647,54
648,648,450
649,649,421
650,650,573
651,651,646
652,652,803
653,653,683
654,654,755
655,655,610
656,656,785
657,657,752
658,658,439
659,659,800
660,660,947
661,661,39
662,662,388
663,663,35
664,664,371
665,665,541
666,666,660
667,667,214
668,668,843
669,669,451
670,670,96
671,671,235
672,672,917
673,673,892
674,674,188
675,675,504
676,676,601
677,677,465
678,678,404
679,679,941
680,680,98
681,681,366
682,682,779
683,683,842
684,684,363
685,685,667
686,686,571
687,687,673
688,688,879
689,689,616
690,690,907
691,691,730
692,692,545
693,693,303
694,694,255
695,695,605
696,696,613
697,697,600
698,698,59
699,699,119
700,700,875
701,701,252
702,702,56
703,703,185
704,704,629
705,705,490
706,706,486
707,707,678
708,708,229
709,709,112
710,710,862
711,711,42
712,712,499
713,713,739
714,714,681
715,715,758
716,716,473
717,717,664
718,718,1
719,719,173
720,720,357
721,721,654
722,722,713
723,723,682
724,724,477
725,725,158
726,726,93
727,727,878
728,728,744
729,729,67
730,730,935
731,731,881
732,732,275
733,733,936
734,734,63
735,735,607
736,736,536
737,737,470
738,738,652
739,739,668
740,740,489
741,741,804
742,742,912
743,743,12
744,744,537
745,745,429
746,746,274
747,747,602
748,748,232
749,749,461
750,750,635
751,751,840
752,752,5
753,753,834
754,754,547
755,755,337
756,756,615
757,757,104
758,758,724
759,759,83
760,760,930
761,761,317
762,762,44
763,763,455
764,764,768
765,765,543
766,766,260
767,767,408
768,768,647
769,769,123
770,770,467
771,771,48
772,772,868
773,773,621
774,774,191
775,775,171
776,776,445
777,777,15
778,778,753
779,779,697
780,780,209
781,781,642
782,782,626
783,783,415
784,784,24
785,785,427
786,786,823
787,787,684
788,788,762
789,789,245
790,790,556
791,791,939
792,792,230
793,793,91
794,794,449
795,795,498
796,796,620
797,797,106
798,798,769
799,799,249
800,800,160
801,801,165
802,802,897
803,803,824
804,804,787
805,805,659
806,806,382
807,807,858
808,808,447
809,809,921
810,810,743
811,811,851
812,812,559
813,813,838
814,814,797
815,815,890
816,816,608
817,817,588
818,818,7
819,819,512
820,820,511
821,821,295
822,822,45
823,823,731
824,824,125
825,825,946
826,826,286
827,827,221
828,828,945
829,829,693
830,830,478
831,831,778
832,832,735
833,833,288
834,834,452
835,835,808
836,836,523
837,837,696
838,838,346
839,839,273
840,840,491
841,841,943
842,842,118
843,843,137
844,844,494
845,845,790
846,846,17
847,847,944
848,848,709
849,849,178
850,850,442
851,851,194
852,852,385
853,853,619
854,854,257
855,855,884
856,856,129
857,857,6
858,858,381
859,859,468
860,860,596
861,861,520
862,862,364
863,863,922
864,864,542
865,865,74
866,866,677
867,867,896
868,868,354
869,869,166
870,870,379
871,871,540
872,872,578
873,873,241
874,874,228
875,875,144
876,876,331
877,877,464
878,878,57
879,879,28
880,880,309
881,881,924
882,882,134
883,883,114
884,884,579
885,885,533
886,886,136
887,887,395
888,888,350
889,889,737
890,890,575
891,891,287
892,892,501
893,893,393
894,894,861
895,895,242
896,896,815
897,897,873
898,898,509
899,899,857
900,900,798
901,901,546
902,902,278
903,903,202
904,904,77
905,905,655
906,906,142
907,907,926
908,908,789
909,909,587
910,910,614
911,911,816
912,912,722
913,913,146
914,914,747
915,915,157
916,916,376
917,917,290
918,918,156
919,919,200
920,920,656
921,921,756
922,922,845
923,923,754
924,924,948
925,925,30
926,926,692
927,927,686
928,928,938
929,929,180
930,930,728
931,931,33
932,932,10
933,933,853
934,934,431
935,935,411
936,936,124
937,937,407
938,938,831
939,939,703
940,940,526
941,941,811
942,942,329
943,943,748
944,944,2
945,945,352
946,946,367
947,947,617
